NT08AB0001	NT16AB0001	NT17AB0001	NT20ABA0020
NT08AB1051	----------	----------	----------
NT08AB1052	----------	----------	----------
NT08AB1053	----------	----------	----------
NT08AB1054	NT16AB2845	----------	NT20ABA1015
NT08AB1055	NT16AB2843	----------	NT20ABA1017
NT08AB1056	NT16AB2842	----------	NT20ABA1018
NT08AB1057	NT16AB2841	----------	NT20ABA1019
NT08AB1058	NT16AB2840	----------	NT20ABA1020
NT08AB1059	NT16AB2839	NT17AB2145	NT20ABA1029
NT08AB1060	----------	----------	----------
NT08AB1061	NT16AB2838	----------	NT20ABA1030
NT08AB1062	NT16AB2837	----------	NT20ABA1033
NT08AB1063	NT16AB2836	----------	NT20ABA1034
NT08AB1064	NT16AB2835	----------	NT20ABA1035
NT08AB1065	NT16AB2834	----------	NT20ABA1036
NT08AB1066	NT16AB2833	----------	NT20ABA1037
NT08AB1067	NT16AB2832	NT17AB2289	NT20ABA1038
NT08AB1068	----------	----------	----------
NT08AB1069	----------	----------	----------
NT08AB1070	NT16AB2831	NT17AB2288	NT20ABA1039
NT08AB1071	NT16AB2830	NT17AB2287	NT20ABA1040
NT08AB1072	NT16AB2829	NT17AB2286	NT20ABA1041
NT08AB1073	NT16AB2828	NT17AB2285	NT20ABA1042
NT08AB1074	----------	----------	----------
NT08AB1075	NT16AB2827	NT17AB2284	NT20ABA1043
NT08AB1076	NT16AB2826	NT17AB2283	NT20ABA1044
NT08AB1077	NT16AB2825	NT17AB2282	NT20ABA1045
NT08AB1078	NT16AB2824	NT17AB2281	NT20ABA1046
NT08AB1079	NT16AB2823	NT17AB2280	NT20ABA1047
NT08AB1080	NT16AB2822	----------	NT20ABA1048
NT08AB1081	NT16AB2821	----------	NT20ABA1049
NT08AB1082	NT16AB2820	----------	NT20ABA1050
NT08AB1083	NT16AB2819	----------	NT20ABA1051
NT08AB1084	NT16AB2818	----------	NT20ABA1052
NT08AB1085	NT16AB2817	----------	NT20ABA1053
NT08AB1086	NT16AB2816	----------	NT20ABA1054
NT08AB1087	NT16AB2815	----------	NT20ABA1055
NT08AB1088	NT16AB2814	----------	NT20ABA1056
NT08AB1089	----------	----------	NT20ABA1057
NT08AB1090	NT16AB2813	----------	NT20ABA1058
NT08AB1091	NT16AB2812	----------	NT20ABA1059
NT08AB1092	NT16AB2811	----------	NT20ABA1060
NT08AB1093	NT16AB2810	----------	NT20ABA1061
NT08AB1094	----------	----------	----------
NT08AB1095	NT16AB2809	----------	NT20ABA1062
NT08AB1096	NT16AB2808	----------	NT20ABA1063
NT08AB1097	NT16AB2807	----------	NT20ABA1064
NT08AB1098	NT16AB2806	----------	NT20ABA1065
NT08AB1099	NT16AB2805	----------	NT20ABA1066
NT08AB1100	NT16AB2804	----------	NT20ABA1067
NT08AB1101	NT16AB2803	----------	NT20ABA1068
NT08AB1102	NT16AB2802	----------	NT20ABA1069
NT08AB1103	NT16AB2800	----------	NT20ABA1071
NT08AB1104	NT16AB2801	----------	NT20ABA1070
NT08AB1105	NT16AB2799	----------	NT20ABA1072
NT08AB1106	NT16AB2798	----------	NT20ABA1073
NT08AB1107	NT16AB2797	NT17AB1443	NT20ABA1075
NT08AB1108	NT16AB2796	----------	NT20ABA1074
NT08AB1109	NT16AB2795	----------	NT20ABA1076
NT08AB1110	----------	----------	----------
NT08AB1111	NT16AB2794	----------	NT20ABA1077
NT08AB1112	NT16AB2793	----------	NT20ABA1078
NT08AB1113	----------	----------	----------
NT08AB1114	NT16AB2792	----------	NT20ABA1079
NT08AB1115	NT16AB2791	----------	NT20ABA1080
NT08AB1116	NT16AB2790	----------	NT20ABA1081
NT08AB1117	NT16AB2789	----------	NT20ABA1082
NT08AB1118	NT16AB2788	----------	NT20ABA1083
NT08AB1119	NT16AB2787	----------	NT20ABA1084
NT08AB1120	NT16AB2786	----------	NT20ABA1085
NT08AB1121	NT16AB2785	NT17AB2277	NT20ABA1086
NT08AB1122	NT16AB2784	----------	NT20ABA1088
NT08AB1123	NT16AB2783	----------	NT20ABA1087
NT08AB1124	----------	----------	----------
NT08AB1125	NT16AB2782	----------	NT20ABA1089
NT08AB1126	NT16AB2781	----------	NT20ABA1090
NT08AB1127	NT16AB2780	NT17AB2275	NT20ABA1091
NT08AB1128	NT16AB2779	NT17AB2274	NT20ABA1092
NT08AB1129	----------	----------	----------
NT08AB1130	NT16AB2778	NT17AB2273	NT20ABA1093
NT08AB1131	NT16AB2777	NT17AB2272	NT20ABA1094
NT08AB1132	NT16AB2776	NT17AB2271	NT20ABA1095
NT08AB1133	----------	----------	----------
NT08AB1134	NT16AB2775	NT17AB2270	NT20ABA1096
NT08AB1135	NT16AB2774	NT17AB2269	NT20ABA1098
NT08AB1136	NT16AB2773	NT17AB2268	NT20ABA1099
NT08AB1137	NT16AB2772	NT17AB2267	NT20ABA1100
NT08AB1138	NT16AB2771	NT17AB2266	NT20ABA1101
NT08AB1139	NT16AB2770	NT17AB2265	NT20ABA1102
NT08AB1140	NT16AB2769	NT17AB2262	NT20ABA1103
NT08AB1141	NT16AB2768	NT17AB2261	NT20ABA1104
NT08AB1142	NT16AB2767	NT17AB2260	NT20ABA1105
NT08AB1143	NT16AB2766	NT17AB2253	NT20ABA1106
NT08AB1144	NT16AB2765	NT17AB2254	NT20ABA1107
NT08AB1145	NT16AB2764	NT17AB2255	NT20ABA1108
NT08AB1146	NT16AB2763	NT17AB2256	NT20ABA1109
NT08AB1147	NT16AB2762	NT17AB2257	NT20ABA1110
NT08AB1148	NT16AB2761	NT17AB2251	NT20ABA1111
NT08AB1149	NT16AB2760	NT17AB2249	NT20ABA1112
NT08AB1150	NT16AB2759	NT17AB2248	NT20ABA1113
NT08AB1151	NT16AB2758	NT17AB2247	NT20ABA1114
NT08AB1152	----------	----------	NT20ABA1115
NT08AB1153	NT16AB2757	NT17AB2246	NT20ABA1116
NT08AB1154	NT16AB2756	NT17AB2245	NT20ABA1117
NT08AB1155	NT16AB2755	NT17AB2244	NT20ABA1118
NT08AB1156	NT16AB2754	NT17AB2240	NT20ABA1119
NT08AB1157	NT16AB2753	NT17AB2239	NT20ABA1120
NT08AB1158	NT16AB2752	NT17AB2237	NT20ABA1121
NT08AB1159	NT16AB2751	NT17AB2236	NT20ABA1122
NT08AB1160	----------	----------	----------
NT08AB1161	NT16AB2749	NT17AB2235	NT20ABA1123
NT08AB1162	NT16AB2748	NT17AB2234	NT20ABA1124
NT08AB1163	NT16AB2747	NT17AB2232	NT20ABA1125
NT08AB1164	NT16AB2746	NT17AB2231	NT20ABA1127
NT08AB1165	NT16AB2745	NT17AB2230	NT20ABA1126
NT08AB1166	NT16AB2744	NT17AB2229	NT20ABA1128
NT08AB1167	NT16AB2743	NT17AB2228	NT20ABA1129
NT08AB1168	----------	NT17AB2227	----------
NT08AB1169	NT16AB2742	NT17AB2226	NT20ABA1130
NT08AB1170	NT16AB2741	NT17AB2224	NT20ABA1131
NT08AB1171	NT16AB2740	NT17AB2223	NT20ABA1132
NT08AB1172	NT16AB2739	NT17AB2222	NT20ABA1133
NT08AB1173	NT16AB2738	NT17AB2221	NT20ABA1134
NT08AB1174	NT16AB2737	NT17AB2220	NT20ABA1135
NT08AB1175	NT16AB2736	NT17AB2219	NT20ABA1136
NT08AB1176	NT16AB2735	NT17AB2218	NT20ABA1137
NT08AB1177	NT16AB2734	NT17AB2217	NT20ABA1138
NT08AB1178	NT16AB2733	NT17AB2216	NT20ABA1139
NT08AB1179	NT16AB2731	NT17AB2215	NT20ABA1141
NT08AB1180	NT16AB2730	NT17AB2214	NT20ABA1142
NT08AB1181	NT16AB2729	NT17AB2213	NT20ABA1143
NT08AB1182	NT16AB2728	NT17AB2212	NT20ABA1144
NT08AB1183	NT16AB2727	NT17AB2211	NT20ABA1145
NT08AB1184	NT16AB2726	NT17AB2210	NT20ABA1146
NT08AB1185	NT16AB2725	NT17AB2209	NT20ABA1147
NT08AB1186	----------	----------	----------
NT08AB1187	----------	NT17AB0950	----------
NT08AB1188	----------	----------	----------
NT08AB1189	NT16AB2724	NT17AB2206	NT20ABA1148
NT08AB1190	NT16AB2723	NT17AB2205	NT20ABA1149
NT08AB1191	NT16AB2722	----------	NT20ABA1150
NT08AB1192	NT16AB2721	NT17AB2204	NT20ABA1151
NT08AB1194	NT16AB2646	NT17AB1263	NT20ABA1153
NT08AB1195	NT16AB2645	NT17AB1264	NT20ABA1154
NT08AB1196	NT16AB2644	NT17AB1265	NT20ABA1155
NT08AB1197	NT16AB2643	NT17AB1266	NT20ABA1156
NT08AB1198	NT16AB2642	NT17AB1267	NT20ABA1157
NT08AB1199	NT16AB2641	NT17AB1268	NT20ABA1158
NT08AB1200	NT16AB2640	----------	NT20ABA1159
NT08AB1201	NT16AB2639	NT17AB1269	NT20ABA1160
NT08AB1202	NT16AB2638	NT17AB1270	NT20ABA1161
NT08AB1203	NT16AB2636	NT17AB1271	NT20ABA1162
NT08AB1204	NT16AB2635	NT17AB1272	NT20ABA1163
NT08AB1205	NT16AB2634	NT17AB1273	NT20ABA1164
NT08AB1206	NT16AB2633	NT17AB1274	NT20ABA1165
NT08AB1207	NT16AB2632	NT17AB1275	NT20ABA1166
NT08AB1208	NT16AB2631	NT17AB1276	NT20ABA1167
NT08AB1209	NT16AB2630	NT17AB1277	NT20ABA1168
NT08AB1210	NT16AB2629	NT17AB1278	NT20ABA1169
NT08AB1211	NT16AB2628	NT17AB1279	NT20ABA1170
NT08AB1212	NT16AB2627	NT17AB1280	NT20ABA1171
NT08AB1213	NT16AB2626	NT17AB1283	NT20ABA1172
NT08AB1214	NT16AB2625	NT17AB1284	NT20ABA1173
NT08AB1215	NT16AB2624	NT17AB1285	NT20ABA1174
NT08AB1216	NT16AB2623	----------	NT20ABA1175
NT08AB1217	NT16AB2622	----------	NT20ABA1176
NT08AB1218	----------	----------	----------
NT08AB1219	NT16AB2621	NT17AB1287	NT20ABA1177
NT08AB1220	----------	----------	----------
NT08AB1221	NT16AB2620	NT17AB1289	NT20ABA1178
NT08AB1222	NT16AB2612	NT17AB1293	NT20ABA1185
NT08AB1224	NT16AB2609	NT17AB1295	NT20ABA1187
NT08AB1225	NT16AB2608	NT17AB1296	NT20ABA1188
NT08AB1226	NT16AB2606	NT17AB1297	NT20ABA1189
NT08AB1227	----------	----------	----------
NT08AB1228	NT16AB2603	NT17AB1299	NT20ABA1190
NT08AB1229	----------	----------	----------
NT08AB1230	NT16AB2602	NT17AB1301	NT20ABA1191
NT08AB1232	----------	----------	----------
NT08AB1233	----------	----------	----------
NT08AB1234	----------	----------	----------
NT08AB1235	----------	----------	----------
NT08AB1236	----------	----------	----------
NT08AB1237	----------	----------	----------
NT08AB1238	----------	----------	----------
NT08AB1239	----------	----------	----------
NT08AB1240	----------	----------	----------
NT08AB1241	----------	----------	----------
NT08AB1242	----------	----------	----------
NT08AB1243	----------	----------	----------
NT08AB1244	NT16AB2600	----------	NT20ABA1193
NT08AB1245	----------	----------	----------
NT08AB1246	----------	----------	NT20ABA1196
NT08AB1247	----------	----------	NT20ABA1195
NT08AB1248	----------	----------	----------
NT08AB1249	----------	----------	NT20ABA1203
NT08AB1250	----------	NT17AB1320	NT20ABA1204
NT08AB1251	----------	----------	NT20ABA1205
NT08AB1252	----------	----------	NT20ABA1206
NT08AB1253	----------	----------	NT20ABA1207
NT08AB1254	----------	----------	NT20ABA1208
NT08AB1255	----------	----------	NT20ABA1209
NT08AB1256	----------	----------	NT20ABA1210
NT08AB1257	----------	----------	NT20ABA1211
NT08AB1258	----------	----------	----------
NT08AB1259	----------	----------	NT20ABA1212
NT08AB1260	----------	----------	NT20ABA1213
NT08AB1261	----------	----------	NT20ABA1214
NT08AB1262	----------	----------	NT20ABA1215
NT08AB1263	----------	----------	NT20ABA1216
NT08AB1264	----------	----------	----------
NT08AB1265	----------	----------	NT20ABA1217
NT08AB1266	----------	NT17AB1322	NT20ABA1218
NT08AB1267	----------	NT17AB1323	NT20ABA1219
NT08AB1268	----------	NT17AB1324	NT20ABA1220
NT08AB1269	----------	NT17AB1325	NT20ABA1221
NT08AB1270	----------	NT17AB1327	NT20ABA1222
NT08AB1271	----------	NT17AB1328	NT20ABA1224
NT08AB1272	----------	NT17AB1329	NT20ABA1225
NT08AB1273	----------	NT17AB1330	NT20ABA1226
NT08AB1274	NT16AB2597	NT17AB1331	NT20ABA1227
NT08AB1275	NT16AB2596	----------	NT20ABA1228
NT08AB1276	NT16AB2595	NT17AB1332	NT20ABA1229
NT08AB1277	NT16AB2594	----------	NT20ABA1230
NT08AB1278	NT16AB2593	----------	NT20ABA1231
NT08AB1279	NT16AB2592	----------	NT20ABA1232
NT08AB1280	NT16AB2591	----------	NT20ABA1233
NT08AB1281	NT16AB2590	----------	NT20ABA1234
NT08AB1282	NT16AB2589	----------	NT20ABA1235
NT08AB1283	NT16AB2588	----------	NT20ABA1236
NT08AB1284	NT16AB2587	----------	NT20ABA1237
NT08AB1285	NT16AB2586	----------	NT20ABA1238
NT08AB1286	NT16AB2585	----------	NT20ABA1239
NT08AB1287	NT16AB2584	----------	NT20ABA1240
NT08AB1288	NT16AB2583	----------	NT20ABA1241
NT08AB1289	NT16AB2582	----------	NT20ABA1242
NT08AB1290	----------	----------	----------
NT08AB1291	NT16AB2581	----------	NT20ABA1243
NT08AB1292	NT16AB2580	----------	NT20ABA1244
NT08AB1293	NT16AB2579	----------	NT20ABA1245
NT08AB1294	NT16AB2578	NT17AB1334	NT20ABA1246
NT08AB1295	NT16AB2577	NT17AB1335	NT20ABA1247
NT08AB1296	NT16AB2576	NT17AB1336	NT20ABA1248
NT08AB1297	NT16AB2575	NT17AB1337	NT20ABA1249
NT08AB1298	NT16AB2574	NT17AB1338	NT20ABA1250
NT08AB1299	NT16AB2573	NT17AB1339	NT20ABA1251
NT08AB1300	NT16AB2572	NT17AB1340	NT20ABA1252
NT08AB1301	NT16AB2571	NT17AB1341	NT20ABA1253
NT08AB1302	NT16AB2570	NT17AB1342	NT20ABA1254
NT08AB1303	----------	----------	----------
NT08AB1304	NT16AB2569	----------	NT20ABA1255
NT08AB1305	NT16AB2568	NT17AB1344	NT20ABA1256
NT08AB1306	----------	----------	----------
NT08AB1307	NT16AB2567	NT17AB1345	NT20ABA1257
NT08AB1308	NT16AB2566	NT17AB1346	NT20ABA1258
NT08AB1309	NT16AB2565	NT17AB1347	NT20ABA1259
NT08AB1310	NT16AB2564	NT17AB1348	NT20ABA1260
NT08AB1311	NT16AB2563	NT17AB1349	NT20ABA1261
NT08AB1312	NT16AB2562	NT17AB1350	NT20ABA1262
NT08AB1313	NT16AB2561	NT17AB1351	NT20ABA1263
NT08AB1314	----------	----------	NT20ABA1264
NT08AB1315	----------	----------	----------
NT08AB1316	----------	----------	NT20ABA1266
NT08AB1317	----------	----------	----------
NT08AB1318	NT16AB2717	NT17AB2346	NT20ABA1270
NT08AB1319	----------	----------	----------
NT08AB1320	NT16AB2715	NT17AB2344	----------
NT08AB1321	NT16AB2714	NT17AB2343	----------
NT08AB1322	NT16AB1241	----------	----------
NT08AB1323	----------	----------	----------
NT08AB1324	----------	----------	----------
NT08AB1325	----------	----------	----------
NT08AB1326	----------	----------	----------
NT08AB1327	----------	----------	----------
NT08AB1328	----------	NT17AB1251	----------
NT08AB1329	----------	NT17AB1253	----------
NT08AB1330	----------	NT17AB1254	----------
NT08AB1331	NT16AB2697	NT17AB1255	----------
NT08AB1332	NT16AB2695	----------	----------
NT08AB1333	NT16AB2694	NT17AB1256	NT20ABA2762
NT08AB1334	NT16AB2693	NT17AB2331	----------
NT08AB1335	----------	----------	----------
NT08AB1336	NT16AB2690	NT17AB2330	NT20ABA3288
NT08AB1337	NT16ABA0086	----------	----------
NT08AB1338	NT16AB2482	----------	NT20ABA1427
NT08AB1339	NT16AB2481	----------	NT20ABA1428
NT08AB1340	NT16AB2480	NT17AB2326	NT20ABA1429
NT08AB1341	----------	----------	----------
NT08AB1342	NT16AB2479	NT17AB2325	NT20ABA1430
NT08AB1343	----------	----------	----------
NT08AB1344	NT16AB2476	NT17AB2323	NT20ABA1433
NT08AB1345	NT16AB2475	----------	NT20ABA1434
NT08AB1346	NT16AB2474	NT17AB2321	NT20ABA1435
NT08AB1347	----------	----------	----------
NT08AB1348	----------	----------	----------
NT08AB1349	----------	----------	----------
NT08AB1350	----------	----------	----------
NT08AB1351	----------	----------	----------
NT08AB1352	----------	----------	----------
NT08AB1353	----------	----------	----------
NT08AB1354	----------	----------	----------
NT08AB1355	----------	----------	----------
NT08AB1356	----------	----------	----------
NT08AB1357	----------	----------	----------
NT08AB1358	----------	----------	----------
NT08AB1359	----------	----------	----------
NT08AB1360	NT16AB1275	----------	----------
NT08AB1361	----------	----------	----------
NT08AB1362	----------	----------	----------
NT08AB1363	----------	----------	----------
NT08AB1364	NT16AB2473	----------	NT20ABA1436
NT08AB1365	NT16AB2654	NT17AB0988	NT20ABA3250
NT08AB1366	NT16AB2653	NT17AB2299	----------
NT08AB1367	----------	----------	----------
NT08AB1368	NT16ABA0004	NT17AB2379	----------
NT08AB1369	----------	----------	----------
NT08AB1370	----------	----------	NT20ABA1344
NT08AB1371	----------	----------	NT20ABA1345
NT08AB1372	----------	----------	----------
NT08AB1373	----------	----------	----------
NT08AB1374	----------	----------	NT20ABA1349
NT08AB1375	NT16AB2560	NT17AB1352	NT20ABA1350
NT08AB1376	NT16AB2559	NT17AB1353	NT20ABA1351
NT08AB1377	NT16AB2557	NT17AB1355	NT20ABA1353
NT08AB1378	NT16AB2556	NT17AB1356	NT20ABA1354
NT08AB1379	NT16AB2555	----------	----------
NT08AB1380	NT16AB2554	NT17AB1358	NT20ABA1355
NT08AB1381	NT16AB2553	NT17AB1359	NT20ABA1356
NT08AB1382	NT16AB2552	----------	NT20ABA1357
NT08AB1383	NT16AB2551	----------	NT20ABA1358
NT08AB1384	NT16AB2550	NT17AB1385	NT20ABA1360
NT08AB1385	NT16AB2549	NT17AB1386	NT20ABA1359
NT08AB1386	NT16AB2548	NT17AB1387	NT20ABA1361
NT08AB1387	NT16AB2547	NT17AB1389	NT20ABA1362
NT08AB1388	NT16AB2546	NT17AB1390	NT20ABA1363
NT08AB1389	----------	----------	----------
NT08AB1390	NT16AB2545	NT17AB1391	NT20ABA1364
NT08AB1391	NT16AB2544	NT17AB1392	NT20ABA1365
NT08AB1392	NT16AB2543	NT17AB1393	NT20ABA1366
NT08AB1393	NT16AB2542	NT17AB1394	NT20ABA1367
NT08AB1394	----------	----------	----------
NT08AB1395	NT16AB2541	NT17AB1395	NT20ABA1369
NT08AB1396	NT16AB2540	NT17AB1396	NT20ABA1370
NT08AB1397	NT16AB2539	NT17AB1397	NT20ABA1371
NT08AB1398	NT16AB2538	NT17AB1398	NT20ABA1372
NT08AB1399	NT16AB2537	NT17AB1399	NT20ABA1373
NT08AB1400	----------	----------	----------
NT08AB1401	NT16AB2536	NT17AB1400	NT20ABA1374
NT08AB1402	NT16AB2535	NT17AB1401	NT20ABA1375
NT08AB1403	NT16AB2534	NT17AB1402	NT20ABA1376
NT08AB1404	----------	----------	----------
NT08AB1405	NT16AB2533	NT17AB1404	NT20ABA1377
NT08AB1406	NT16AB2532	NT17AB1405	NT20ABA1378
NT08AB1407	NT16AB2531	----------	NT20ABA1379
NT08AB1408	NT16AB2530	NT17AB1406	NT20ABA1380
NT08AB1409	NT16AB2529	NT17AB1407	NT20ABA1381
NT08AB1410	----------	----------	----------
NT08AB1411	NT16AB2528	NT17AB1408	NT20ABA1382
NT08AB1412	NT16AB2527	----------	NT20ABA1383
NT08AB1413	NT16AB2526	----------	NT20ABA1384
NT08AB1414	NT16AB2525	----------	NT20ABA1385
NT08AB1415	NT16AB2524	----------	NT20ABA1386
NT08AB1416	NT16AB2523	----------	NT20ABA1387
NT08AB1417	NT16AB2522	NT17AB1410	NT20ABA1388
NT08AB1418	NT16AB2521	NT17AB1411	NT20ABA1389
NT08AB1419	NT16AB2520	NT17AB1412	NT20ABA1390
NT08AB1420	NT16AB2519	NT17AB1413	NT20ABA1391
NT08AB1421	NT16AB2518	NT17AB1414	NT20ABA1392
NT08AB1422	NT16AB2517	NT17AB1415	NT20ABA1393
NT08AB1423	NT16AB2516	NT17AB1416	NT20ABA1394
NT08AB1424	NT16AB2515	----------	NT20ABA1395
NT08AB1425	NT16AB2514	----------	NT20ABA1396
NT08AB1426	NT16AB2513	NT17AB2191	NT20ABA1397
NT08AB1427	NT16AB2512	NT17AB2190	NT20ABA1398
NT08AB1428	NT16AB2511	NT17AB2189	NT20ABA1399
NT08AB1429	NT16AB2510	NT17AB2188	NT20ABA1400
NT08AB1431	NT16AB2508	NT17AB2186	NT20ABA1402
NT08AB1432	NT16AB2507	NT17AB2185	NT20ABA1403
NT08AB1433	NT16AB2505	NT17AB2184	NT20ABA1404
NT08AB1434	NT16AB2504	NT17AB2183	NT20ABA1405
NT08AB1435	NT16AB2503	----------	NT20ABA1406
NT08AB1436	NT16AB2502	NT17ABB0020	NT20ABA1407
NT08AB1437	NT16AB2501	----------	NT20ABA1408
NT08AB1438	NT16AB2500	----------	NT20ABA1409
NT08AB1439	NT16AB2499	----------	NT20ABA1410
NT08AB1440	NT16AB2498	----------	NT20ABA1411
NT08AB1441	NT16AB2497	----------	NT20ABA1412
NT08AB1442	NT16AB2495	----------	NT20ABA1413
NT08AB1443	NT16AB2496	----------	NT20ABA1414
NT08AB1444	----------	----------	----------
NT08AB1445	NT16AB2494	----------	NT20ABA1415
NT08AB1446	NT16AB2493	----------	NT20ABA1416
NT08AB1447	----------	----------	----------
NT08AB1448	NT16AB2492	----------	NT20ABA1417
NT08AB1449	NT16AB2491	----------	NT20ABA1418
NT08AB1450	----------	----------	----------
NT08AB1452	NT16AB2461	NT17AB2180	NT20ABA1449
NT08AB1453	NT16AB2460	NT17AB2179	NT20ABA1450
NT08AB1454	NT16AB2459	NT17AB2178	NT20ABA1451
NT08AB1455	NT16AB2458	NT17AB2177	NT20ABA1452
NT08AB1456	NT16AB2457	NT17AB2176	NT20ABA1453
NT08AB1457	NT16AB2456	NT17AB2175	NT20ABA1454
NT08AB1458	NT16AB2455	NT17AB2173	NT20ABA1455
NT08AB1459	NT16AB2454	NT17AB2172	NT20ABA1456
NT08AB1460	NT16AB2453	NT17AB1041	NT20ABA1457
NT08AB1461	NT16AB2452	NT17AB1042	NT20ABA1458
NT08AB1462	NT16AB2451	NT17AB1043	NT20ABA1459
NT08AB1463	NT16AB2450	NT17AB1044	NT20ABA1460
NT08AB1464	NT16AB2449	NT17AB1045	NT20ABA1461
NT08AB1465	----------	----------	----------
NT08AB1466	NT16AB2448	NT17AB1046	NT20ABA1462
NT08AB1467	NT16AB2447	NT17AB1047	NT20ABA1463
NT08AB1468	NT16AB2446	NT17AB1048	NT20ABA1464
NT08AB1469	NT16AB2445	NT17AB1049	NT20ABA1466
NT08AB1470	----------	----------	----------
NT08AB1471	NT16AB2444	----------	NT20ABA1465
NT08AB1472	NT16AB2443	----------	NT20ABA1467
NT08AB1473	NT16AB2440	----------	NT20ABA1468
NT08AB1474	NT16AB2438	----------	NT20ABA1470
NT08AB1475	NT16AB2437	----------	NT20ABA1471
NT08AB1476	----------	----------	----------
NT08AB1477	----------	----------	----------
NT08AB1478	NT16AB2436	----------	NT20ABA1472
NT08AB1479	NT16AB2435	----------	NT20ABA1473
NT08AB1480	NT16AB2434	----------	NT20ABA1474
NT08AB1481	----------	----------	----------
NT08AB1482	NT16AB2431	----------	NT20ABA1477
NT08AB1483	NT16AB2430	NT17AB2141	NT20ABA1478
NT08AB1484	NT16AB2428	----------	NT20ABA1480
NT08AB1485	NT16AB2427	NT17AB2138	NT20ABA1481
NT08AB1486	----------	----------	----------
NT08AB1487	----------	----------	----------
NT08AB1488	NT16AB2426	NT17AB2134	NT20ABA1482
NT08AB1489	NT16AB2415	----------	NT20ABA1491
NT08AB1490	NT16AB2414	----------	NT20ABA1492
NT08AB1491	NT16AB2413	NT17AB2128	NT20ABA1493
NT08AB1492	NT16AB2412	NT17AB2127	NT20ABA1494
NT08AB1493	NT16AB2411	NT17AB2126	NT20ABA1495
NT08AB1494	NT16AB2410	NT17AB2125	NT20ABA1496
NT08AB1495	NT16AB2409	NT17AB2124	NT20ABA1497
NT08AB1496	NT16AB2408	NT17AB2123	NT20ABA1498
NT08AB1497	----------	----------	----------
NT08AB1498	NT16AB2403	----------	NT20ABA1502
NT08AB1499	NT16AB2402	----------	NT20ABA1503
NT08AB1500	NT16AB2401	----------	NT20ABA1504
NT08AB1502	NT16AB2399	----------	NT20ABA1506
NT08AB1503	NT16AB2398	----------	NT20ABA1507
NT08AB1504	NT16AB2397	----------	NT20ABA1508
NT08AB1505	----------	----------	----------
NT08AB1506	NT16AB2395	----------	NT20ABA1510
NT08AB1507	NT16AB2394	----------	NT20ABA1511
NT08AB1508	----------	----------	----------
NT08AB1509	----------	----------	----------
NT08AB1510	NT16AB2393	----------	NT20ABA1512
NT08AB1511	NT16AB2392	----------	NT20ABA1513
NT08AB1512	NT16AB2391	----------	NT20ABA1514
NT08AB1513	NT16AB2390	----------	NT20ABA1515
NT08AB1514	NT16AB2389	----------	NT20ABA1516
NT08AB1515	NT16AB2388	----------	NT20ABA1517
NT08AB1516	----------	----------	----------
NT08AB1517	NT16AB2387	----------	NT20ABA1519
NT08AB1518	----------	----------	----------
NT08AB1519	----------	----------	----------
NT08AB1520	----------	----------	----------
NT08AB1521	----------	----------	----------
NT08AB1522	NT16AB2385	NT17AB2121	NT20ABA1520
NT08AB1523	----------	----------	----------
NT08AB1524	NT16AB2384	NT17AB2120	NT20ABA1521
NT08AB1525	NT16AB2383	NT17AB2119	NT20ABA1522
NT08AB1526	NT16AB2382	NT17AB2118	NT20ABA1523
NT08AB1527	NT16AB2381	NT17AB2117	NT20ABA1524
NT08AB1528	NT16AB2380	NT17AB2116	NT20ABA1525
NT08AB1529	----------	----------	----------
NT08AB1530	----------	----------	----------
NT08AB1531	NT16AB2379	NT17AB2115	NT20ABA1526
NT08AB1532	NT16AB2378	NT17AB2114	NT20ABA1527
NT08AB1533	NT16AB2377	NT17AB2113	NT20ABA1528
NT08AB1534	----------	----------	----------
NT08AB1535	NT16AB2376	NT17AB2112	NT20ABA1529
NT08AB1536	NT16AB2375	NT17AB2111	NT20ABA1530
NT08AB1537	NT16AB2374	NT17AB2110	NT20ABA1531
NT08AB1538	NT16AB2373	NT17AB2109	NT20ABA1532
NT08AB1539	NT16AB2372	NT17AB2108	NT20ABA1533
NT08AB1540	NT16AB2371	NT17AB2107	NT20ABA1534
NT08AB1541	NT16AB2370	NT17AB2106	NT20ABA1535
NT08AB1542	NT16AB2369	NT17AB2105	NT20ABA1536
NT08AB1543	----------	----------	----------
NT08AB1544	NT16AB2368	NT17AB2104	NT20ABA1537
NT08AB1545	NT16AB2367	NT17AB2103	NT20ABA1538
NT08AB1546	NT16AB2366	NT17AB2102	NT20ABA1539
NT08AB1547	NT16AB2365	NT17AB2101	NT20ABA1540
NT08AB1548	NT16AB2364	NT17AB2100	NT20ABA1541
NT08AB1549	NT16AB2363	NT17AB2099	NT20ABA1542
NT08AB1550	NT16AB2362	----------	NT20ABA1543
NT08AB1551	NT16AB2361	NT17AB2097	NT20ABA1544
NT08AB1552	----------	----------	----------
NT08AB1553	NT16AB2360	----------	NT20ABA1545
NT08AB1554	NT16AB2359	----------	NT20ABA1546
NT08AB1555	NT16AB2358	----------	NT20ABA1547
NT08AB1556	NT16AB2357	----------	NT20ABA1548
NT08AB1557	NT16AB2356	----------	NT20ABA1550
NT08AB1558	NT16AB2355	----------	NT20ABA1551
NT08AB1559	NT16AB2354	----------	NT20ABA1552
NT08AB1560	NT16AB2353	----------	NT20ABA1553
NT08AB1561	----------	----------	----------
