NT08AB0001	NT16AB0001 (99.78%)	NT17AB0001 (99.26%)	NT20ABA0020 (99.78%)
NT08AB0954	NT16AB2957 (100.00%)	NT17AB2471 (100.00%)	NT20ABA0901 (99.07%)
NT08AB0955	NT16AB2956 (98.43%)	NT17AB2470 (98.04%)	NT20ABA0902 (98.43%)
NT08AB0956	NT16AB2955 (99.11%)	NT17AB2469 (98.66%)	NT20ABA0903 (99.11%)
NT08AB0957	NT16AB2954 (100.00%)	NT17AB2468 (99.09%)	NT20ABA0904 (100.00%)
NT08AB0959			
NT08AB0960	NT16AB2952 (98.10%)	NT17AB2465 (96.98%)	NT20ABA0906 (98.10%)
NT08AB0961	NT16AB2951 (96.77%)	NT17AB2462 (98.52%)	NT20ABA0907 (96.77%)
NT08AB0962	NT16AB2950 (99.21%)	NT17AB2461 (100.00%)	NT20ABA0908 (99.21%)
NT08AB0963	NT16AB2949 (100.00%)	NT17AB2460 (100.00%)	NT20ABA0909 (100.00%)
NT08AB0964			
NT08AB0965	NT16AB2948 (98.98%)	NT17AB2459 (97.96%)	NT20ABA0910 (98.98%)
NT08AB0966	NT16AB2947 (100.00%)	NT17AB2458 (100.00%)	NT20ABA0911 (100.00%)
NT08AB0971	NT16AB2942 (98.96%)	NT17AB2455 (99.48%)	NT20ABA0916 (98.96%)
NT08AB0972	NT16AB2941 (100.00%)	NT17AB2454 (99.62%)	NT20ABA0917 (100.00%)
NT08AB0973	NT16AB2940 (98.86%)	NT17AB2453 (99.09%)	NT20ABA0919 (98.86%)
NT08AB0974	NT16AB2939 (100.00%)	NT17AB2452 (100.00%)	NT20ABA0918 (100.00%)
NT08AB0975			
NT08AB0976	NT16AB2938 (99.74%)	NT17AB2451 (99.22%)	NT20ABA0920 (99.74%)
NT08AB0977	NT16AB2937 (99.71%)	NT17AB2450 (99.71%)	NT20ABA0921 (99.71%)
NT08AB0978	NT16AB2936 (98.37%)	NT17AB2449 (99.18%)	NT20ABA0922 (97.63%)
NT08AB0979	NT16AB2935 (100.00%)	NT17AB2448 (99.34%)	NT20ABA0923 (100.00%)
NT08AB0980	NT16AB2934 (100.00%)	NT17AB2447 (100.00%)	NT20ABA0924 (100.00%)
NT08AB0981	NT16AB2933 (100.00%)	NT17AB2421 (100.00%)	NT20ABA0925 (100.00%)
NT08AB0982	NT16AB2932 (100.00%)	NT17AB2420 (100.00%)	NT20ABA0926 (100.00%)
NT08AB0985	NT16AB2929 (98.48%)		NT20ABA0929 (98.48%)
NT08AB0986	NT16AB2928 (98.93%)		NT20ABA0930 (98.93%)
NT08AB0987	NT16AB2927 (99.46%)		NT20ABA0931 (99.46%)
NT08AB0988	NT16AB2926 (99.82%)		NT20ABA0932 (99.82%)
NT08AB0989	NT16AB2925 (96.91%)		NT20ABA0933 (96.91%)
NT08AB0990	NT16AB2921 (100.00%)		NT20ABA0934 (100.00%)
NT08AB0991	NT16AB2920 (99.59%)	NT17AB2416 ( 0.00%)	NT20ABA0935 (99.59%)
NT08AB0992			
NT08AB0993	NT16AB2919 (99.37%)	NT17AB2415 (98.29%)	NT20ABA0937 (98.91%)
NT08AB0995	NT16AB2917 (99.71%)	NT17AB2413 (99.71%)	NT20ABA0939 (99.71%)
NT08AB0996			
NT08AB0997	NT16AB2916 (100.00%)	NT17AB2412 (99.73%)	NT20ABA0940 (100.00%)
NT08AB0998	NT16AB2915 (99.44%)	NT17AB2411 (98.88%)	NT20ABA0941 (99.44%)
NT08AB0999	NT16AB2914 (97.20%)	NT17AB2410 (97.86%)	NT20ABA0942 (97.20%)
NT08AB1000	NT16AB2913 (100.00%)	NT17AB2409 (100.00%)	NT20ABA0943 (100.00%)
NT08AB1001	NT16AB2912 (100.00%)	NT17AB2408 (100.00%)	NT20ABA0944 (100.00%)
NT08AB1002			
NT08AB1003	NT16AB2911 (99.55%)	NT17AB2407 (99.29%)	NT20ABA0945 (99.55%)
NT08AB1004	NT16AB2910 (100.00%)	NT17AB2406 (100.00%)	NT20ABA0946 (100.00%)
NT08AB1005	NT16AB2909 (100.00%)	NT17AB2405 (100.00%)	NT20ABA0947 (100.00%)
NT08AB1006	NT16AB2908 (100.00%)	NT17AB2404 (99.86%)	NT20ABA0948 (100.00%)
NT08AB1007	NT16AB2907 (99.74%)	NT17AB2403 (99.74%)	NT20ABA0949 (99.74%)
NT08AB1008	NT16AB2906 (100.00%)	NT17AB2402 (98.98%)	NT20ABA0950 (100.00%)
NT08AB1009	NT16AB2905 (99.31%)	NT17AB2401 (99.66%)	NT20ABA0953 (99.31%)
NT08AB1010	NT16AB2904 (98.68%)	NT17AB2400 (99.32%)	NT20ABA0954 (98.68%)
NT08AB1011	NT16AB2903 (100.00%)	NT17AB2399 (100.00%)	NT20ABA0955 (100.00%)
NT08AB1012	NT16AB2902 (99.59%)	NT17AB2398 (99.59%)	NT20ABA0956 (99.59%)
NT08AB1013	NT16AB2901 (99.68%)	NT17AB2397 (99.37%)	NT20ABA0957 (99.68%)
NT08AB1014	NT16AB2900 (99.50%)	NT17AB2396 (99.50%)	NT20ABA0959 (99.68%)
NT08AB1015	NT16AB2899 (99.03%)		NT20ABA0960 (99.51%)
NT08AB1016	NT16AB2898 (100.00%)	NT17AB2394 (100.00%)	NT20ABA0961 (100.00%)
NT08AB1017	NT16AB2897 (100.00%)	NT17AB2393 (100.00%)	NT20ABA0962 (100.00%)
NT08AB1018	NT16AB2896 (100.00%)	NT17AB2392 (99.63%)	NT20ABA0963 (100.00%)
NT08AB1019	NT16AB2895 (98.75%)	NT17AB2391 (99.54%)	NT20ABA0964 (98.75%)
NT08AB1020	NT16AB2894 (99.71%)	NT17AB2390 (99.00%)	NT20ABA0965 (99.71%)
NT08AB1021	NT16AB2893 (99.35%)	NT17AB2389 (99.03%)	NT20ABA0966 (99.35%)
NT08AB1022	NT16AB2892 (100.00%)	NT17AB2388 (99.54%)	NT20ABA0967 (100.00%)
NT08AB1023	NT16AB2891 (100.00%)	NT17AB2387 (99.71%)	NT20ABA0968 (100.00%)
NT08AB1024	NT16AB2890 (100.00%)	NT17AB2386 (100.00%)	NT20ABA0969 (100.00%)
NT08AB1025	NT16AB2889 (99.58%)	NT17AB2385 (99.15%)	NT20ABA0970 (99.58%)
NT08AB1026	NT16AB2888 (100.00%)	NT17AB2384 (100.00%)	NT20ABA0971 (100.00%)
NT08AB1027	NT16AB2887 (100.00%)	NT17AB2383 (100.00%)	NT20ABA0972 (100.00%)
NT08AB1028	NT16AB2886 (100.00%)	NT17AB2382 (98.91%)	NT20ABA0973 (100.00%)
NT08AB1029	NT16AB2885 (100.00%)	NT17AB2378 (100.00%)	NT20ABA0974 (100.00%)
NT08AB1030	NT16AB2884 (99.71%)	NT17AB2377 (98.40%)	NT20ABA0975 (99.42%)
NT08AB1031	NT16AB2883 (99.07%)	NT17AB2376 (98.13%)	NT20ABA0976 (99.07%)
NT08AB1032	NT16AB2882 (100.00%)	NT17AB2375 (100.00%)	NT20ABA0977 (100.00%)
NT08AB1033	NT16AB2881 (100.00%)	NT17AB2374 (100.00%)	NT20ABA0978 (100.00%)
NT08AB1034	NT16AB2880 (99.73%)	NT17AB2373 (99.60%)	NT20ABA0979 (99.46%)
NT08AB1035	NT16AB2879 (99.71%)	NT17AB2371 (98.62%)	NT20ABA0980 (99.71%)
NT08AB1036	NT16AB2878 (96.09%)	NT17AB2369 (98.70%)	NT20ABA0981 (96.09%)
NT08AB1037	NT16AB2877 (98.08%)	NT17AB2368 (97.41%)	NT20ABA0982 (98.08%)
NT08AB1038	NT16AB2876 (99.53%)	NT17AB2367 (99.22%)	NT20ABA0983 (99.53%)
NT08AB1039	NT16AB2875 (96.93%)	NT17AB2366 (98.77%)	NT20ABA0984 (96.93%)
NT08AB1040	NT16AB2874 (99.20%)	NT17AB2365 (100.00%)	NT20ABA0985 (100.00%)
NT08AB1041	NT16AB2873 (92.09%)	NT17AB2364 (89.43%)	NT20ABA0986 (92.09%)
NT08AB1042	NT16AB2872 (98.65%)	NT17AB2363 (98.38%)	NT20ABA0988 (98.65%)
NT08AB1043	NT16AB2871 (97.67%)	NT17AB2362 (96.01%)	NT20ABA0987 (97.67%)
NT08AB1044	NT16AB2870 (100.00%)	NT17AB2361 (100.00%)	NT20ABA0989 (99.70%)
NT08AB1045	NT16AB2869 (99.44%)	NT17AB2360 (98.18%)	NT20ABA0990 (99.44%)
NT08AB1046	NT16AB2868 (100.00%)	NT17AB2359 (100.00%)	NT20ABA0991 (100.00%)
NT08AB1047	NT16AB2867 (99.80%)	NT17AB2355 (99.37%)	NT20ABA0992 (99.79%)
NT08AB1048	NT16AB2866 (96.64%)	NT17AB2354 (96.34%)	NT20ABA0993 (96.64%)
NT08AB1050			
NT08AB1051			
NT08AB1052			
NT08AB1053			
NT08AB1054	NT16AB2845 (95.74%)		NT20ABA1015 (95.74%)
NT08AB1055	NT16AB2843 (96.69%)		NT20ABA1017 (96.69%)
NT08AB1056	NT16AB2842 (98.48%)		NT20ABA1018 (98.48%)
NT08AB1057	NT16AB2841 (99.68%)		NT20ABA1019 (99.68%)
NT08AB1058	NT16AB2840 (97.97%)		NT20ABA1020 (97.97%)
NT08AB1059	NT16AB2839 (96.70%)	NT17AB2145 (84.48%)	NT20ABA1029 (92.31%)
NT08AB1060			
NT08AB1061	NT16AB2838 (99.44%)		NT20ABA1030 (99.44%)
NT08AB1062	NT16AB2837 (98.88%)		NT20ABA1033 (99.36%)
NT08AB1063	NT16AB2836 (99.77%)		NT20ABA1034 (99.77%)
NT08AB1064	NT16AB2835 (99.66%)		NT20ABA1035 (99.31%)
NT08AB1065	NT16AB2834 (99.19%)		NT20ABA1036 (99.19%)
NT08AB1066	NT16AB2833 (99.82%)		NT20ABA1037 (99.82%)
NT08AB1067	NT16AB2832 (99.67%)	NT17AB2289 (99.67%)	NT20ABA1038 (99.67%)
NT08AB1068			
NT08AB1069			
NT08AB1070	NT16AB2831 (99.39%)	NT17AB2288 (98.98%)	NT20ABA1039 (99.39%)
NT08AB1071	NT16AB2830 (100.00%)	NT17AB2287 (99.03%)	NT20ABA1040 (100.00%)
NT08AB1072	NT16AB2829 (99.44%)	NT17AB2286 (98.70%)	NT20ABA1041 (98.89%)
NT08AB1073	NT16AB2828 (99.21%)	NT17AB2285 (99.01%)	NT20ABA1042 (99.21%)
NT08AB1074			
NT08AB1075	NT16AB2827 (100.00%)	NT17AB2284 (100.00%)	NT20ABA1043 (100.00%)
NT08AB1076	NT16AB2826 (100.00%)	NT17AB2283 (99.42%)	NT20ABA1044 (100.00%)
NT08AB1077	NT16AB2825 (100.00%)	NT17AB2282 (100.00%)	NT20ABA1045 (100.00%)
NT08AB1078	NT16AB2824 (98.49%)	NT17AB2281 (97.93%)	NT20ABA1046 (98.49%)
NT08AB1079	NT16AB2823 (99.29%)	NT17AB2280 (95.52%)	NT20ABA1047 (99.29%)
NT08AB1080	NT16AB2822 (100.00%)		NT20ABA1048 (100.00%)
NT08AB1081	NT16AB2821 (100.00%)		NT20ABA1049 (100.00%)
NT08AB1082	NT16AB2820 (99.40%)		NT20ABA1050 (99.40%)
NT08AB1083	NT16AB2819 (100.00%)		NT20ABA1051 (100.00%)
NT08AB1084	NT16AB2818 (99.25%)		NT20ABA1052 (100.00%)
NT08AB1085	NT16AB2817 (98.09%)		NT20ABA1053 (98.09%)
NT08AB1086	NT16AB2816 (100.00%)		NT20ABA1054 (100.00%)
NT08AB1087	NT16AB2815 (95.96%)		NT20ABA1055 (95.96%)
NT08AB1088	NT16AB2814 (100.00%)		NT20ABA1056 (100.00%)
NT08AB1089			NT20ABA1057 (100.00%)
NT08AB1090	NT16AB2813 (100.00%)		NT20ABA1058 (100.00%)
NT08AB1091	NT16AB2812 (100.00%)		NT20ABA1059 (100.00%)
NT08AB1092	NT16AB2811 (96.46%)		NT20ABA1060 (96.46%)
NT08AB1093	NT16AB2810 (98.06%)		NT20ABA1061 (98.06%)
NT08AB1094			
NT08AB1095	NT16AB2809 (99.22%)		NT20ABA1062 (99.22%)
NT08AB1096	NT16AB2808 (100.00%)		NT20ABA1063 (100.00%)
NT08AB1097	NT16AB2807 (100.00%)		NT20ABA1064 (100.00%)
NT08AB1098	NT16AB2806 (98.54%)		NT20ABA1065 (98.54%)
NT08AB1099	NT16AB2805 (99.62%)		NT20ABA1066 (99.62%)
NT08AB1100	NT16AB2804 (100.00%)		NT20ABA1067 (100.00%)
NT08AB1101	NT16AB2803 (99.80%)		NT20ABA1068 (99.80%)
NT08AB1102	NT16AB2802 (98.72%)		NT20ABA1069 (98.72%)
NT08AB1103	NT16AB2800 (99.77%)		NT20ABA1071 (99.77%)
NT08AB1104	NT16AB2801 (96.73%)		NT20ABA1070 (96.73%)
NT08AB1105	NT16AB2799 (100.00%)		NT20ABA1072 (100.00%)
NT08AB1106	NT16AB2798 (99.38%)		NT20ABA1073 (99.38%)
NT08AB1107	NT16AB2797 (97.71%)	NT17AB1443 (32.75%)	NT20ABA1075 (97.71%)
NT08AB1108	NT16AB2796 (100.00%)		NT20ABA1074 (100.00%)
NT08AB1109	NT16AB2795 (98.77%)		NT20ABA1076 (98.77%)
NT08AB1110			
NT08AB1111	NT16AB2794 (98.95%)		NT20ABA1077 (98.95%)
NT08AB1112	NT16AB2793 (100.00%)		NT20ABA1078 (100.00%)
NT08AB1113			
NT08AB1114	NT16AB2792 (99.34%)		NT20ABA1079 (99.34%)
NT08AB1115	NT16AB2791 (99.60%)		NT20ABA1080 (99.60%)
NT08AB1116	NT16AB2790 (99.54%)		NT20ABA1081 (99.54%)
NT08AB1117	NT16AB2789 (97.51%)		NT20ABA1082 (97.86%)
NT08AB1118	NT16AB2788 (98.50%)		NT20ABA1083 (98.50%)
NT08AB1119	NT16AB2787 (100.00%)		NT20ABA1084 (100.00%)
NT08AB1120	NT16AB2786 (95.92%)		NT20ABA1085 (95.92%)
NT08AB1121	NT16AB2785 (100.00%)	NT17AB2277 (99.80%)	NT20ABA1086 (100.00%)
NT08AB1122	NT16AB2784 (100.00%)		NT20ABA1088 (100.00%)
NT08AB1123	NT16AB2783 (99.32%)		NT20ABA1087 (99.32%)
NT08AB1124			
NT08AB1125	NT16AB2782 (99.07%)		NT20ABA1089 (99.25%)
NT08AB1126	NT16AB2781 (100.00%)		NT20ABA1090 (100.00%)
NT08AB1127	NT16AB2780 (97.61%)	NT17AB2275 (97.40%)	NT20ABA1091 (97.61%)
NT08AB1128	NT16AB2779 (99.28%)	NT17AB2274 (98.57%)	NT20ABA1092 (99.28%)
NT08AB1129			
NT08AB1130	NT16AB2778 (99.51%)	NT17AB2273 (100.00%)	NT20ABA1093 (99.51%)
NT08AB1131	NT16AB2777 (100.00%)	NT17AB2272 (99.53%)	NT20ABA1094 (100.00%)
NT08AB1132	NT16AB2776 (98.90%)	NT17AB2271 (98.29%)	NT20ABA1095 (98.90%)
NT08AB1133			
NT08AB1134	NT16AB2775 (99.03%)	NT17AB2270 (98.06%)	NT20ABA1096 (99.03%)
NT08AB1135	NT16AB2774 (100.00%)	NT17AB2269 (99.04%)	NT20ABA1098 (99.52%)
NT08AB1136	NT16AB2773 (99.51%)	NT17AB2268 (99.51%)	NT20ABA1099 (99.51%)
NT08AB1137	NT16AB2772 (95.16%)	NT17AB2267 (98.92%)	NT20ABA1100 (95.16%)
NT08AB1138	NT16AB2771 (96.52%)	NT17AB2266 (94.35%)	NT20ABA1101 (96.09%)
NT08AB1139	NT16AB2770 (99.02%)	NT17AB2265 (98.66%)	NT20ABA1102 (99.02%)
NT08AB1140	NT16AB2769 (90.33%)	NT17AB2262 (91.08%)	NT20ABA1103 (90.33%)
NT08AB1141	NT16AB2768 (98.22%)	NT17AB2261 (97.78%)	NT20ABA1104 (98.22%)
NT08AB1142	NT16AB2767 (95.55%)	NT17AB2260 (95.69%)	NT20ABA1105 (95.55%)
NT08AB1143	NT16AB2766 (99.49%)	NT17AB2253 (98.35%)	NT20ABA1106 (99.49%)
NT08AB1144	NT16AB2765 (100.00%)	NT17AB2254 (100.00%)	NT20ABA1107 (100.00%)
NT08AB1145	NT16AB2764 (99.36%)	NT17AB2255 (99.36%)	NT20ABA1108 (99.36%)
NT08AB1146	NT16AB2763 (100.00%)	NT17AB2256 (99.49%)	NT20ABA1109 (100.00%)
NT08AB1147	NT16AB2762 (100.00%)	NT17AB2257 (100.00%)	NT20ABA1110 (100.00%)
NT08AB1148	NT16AB2761 (99.31%)	NT17AB2251 (100.00%)	NT20ABA1111 (99.04%)
NT08AB1149	NT16AB2760 (99.38%)	NT17AB2249 (99.38%)	NT20ABA1112 (99.38%)
NT08AB1150	NT16AB2759 (99.80%)	NT17AB2248 (99.80%)	NT20ABA1113 (99.80%)
NT08AB1151	NT16AB2758 (93.56%)	NT17AB2247 (93.12%)	NT20ABA1114 (93.56%)
NT08AB1152			NT20ABA1115 (100.00%)
NT08AB1153	NT16AB2757 (100.00%)	NT17AB2246 (100.00%)	NT20ABA1116 (100.00%)
NT08AB1154	NT16AB2756 (99.81%)	NT17AB2245 (98.70%)	NT20ABA1117 (99.81%)
NT08AB1155	NT16AB2755 (100.00%)	NT17AB2244 (98.35%)	NT20ABA1118 (100.00%)
NT08AB1156	NT16AB2754 (92.36%)	NT17AB2240 (91.72%)	NT20ABA1119 (92.36%)
NT08AB1157	NT16AB2753 (99.55%)	NT17AB2239 (100.00%)	NT20ABA1120 (99.78%)
NT08AB1158	NT16AB2752 (100.00%)	NT17AB2237 (99.77%)	NT20ABA1121 (100.00%)
NT08AB1159	NT16AB2751 (100.00%)	NT17AB2236 (100.00%)	NT20ABA1122 (100.00%)
NT08AB1160			
NT08AB1161	NT16AB2749 (100.00%)	NT17AB2235 (100.00%)	NT20ABA1123 (100.00%)
NT08AB1162	NT16AB2748 (100.00%)	NT17AB2234 (100.00%)	NT20ABA1124 (100.00%)
NT08AB1163	NT16AB2747 (100.00%)	NT17AB2232 (100.00%)	NT20ABA1125 (100.00%)
NT08AB1164	NT16AB2746 (95.65%)	NT17AB2231 (95.65%)	NT20ABA1127 (95.65%)
NT08AB1165	NT16AB2745 (100.00%)	NT17AB2230 (99.18%)	NT20ABA1126 (100.00%)
NT08AB1166	NT16AB2744 (100.00%)	NT17AB2229 (99.00%)	NT20ABA1128 (100.00%)
NT08AB1167	NT16AB2743 (98.04%)	NT17AB2228 (97.17%)	NT20ABA1129 (98.04%)
NT08AB1168		NT17AB2227 (96.05%)	
NT08AB1169	NT16AB2742 (99.82%)	NT17AB2226 (99.47%)	NT20ABA1130 (99.82%)
NT08AB1170	NT16AB2741 (99.38%)	NT17AB2224 (99.38%)	NT20ABA1131 (99.38%)
NT08AB1171	NT16AB2740 (96.38%)	NT17AB2223 (96.38%)	NT20ABA1132 (96.38%)
NT08AB1172	NT16AB2739 (100.00%)	NT17AB2222 (100.00%)	NT20ABA1133 (100.00%)
NT08AB1173	NT16AB2738 (98.94%)	NT17AB2221 (97.73%)	NT20ABA1134 (98.94%)
NT08AB1174	NT16AB2737 (98.91%)	NT17AB2220 (95.63%)	NT20ABA1135 (98.91%)
NT08AB1175	NT16AB2736 (99.85%)	NT17AB2219 (100.00%)	NT20ABA1136 (99.85%)
NT08AB1176	NT16AB2735 (100.00%)	NT17AB2218 (100.00%)	NT20ABA1137 (100.00%)
NT08AB1177	NT16AB2734 (100.00%)	NT17AB2217 (99.75%)	NT20ABA1138 (100.00%)
NT08AB1178	NT16AB2733 (100.00%)	NT17AB2216 (100.00%)	NT20ABA1139 (100.00%)
NT08AB1179	NT16AB2731 (100.00%)	NT17AB2215 (100.00%)	NT20ABA1141 (100.00%)
NT08AB1180	NT16AB2730 (99.62%)	NT17AB2214 (99.24%)	NT20ABA1142 (99.62%)
NT08AB1181	NT16AB2729 (100.00%)	NT17AB2213 (99.31%)	NT20ABA1143 (100.00%)
NT08AB1182	NT16AB2728 (100.00%)	NT17AB2212 (98.64%)	NT20ABA1144 (100.00%)
NT08AB1183	NT16AB2727 (99.61%)	NT17AB2211 (99.07%)	NT20ABA1145 (99.61%)
NT08AB1184	NT16AB2726 (100.00%)	NT17AB2210 (99.37%)	NT20ABA1146 (100.00%)
NT08AB1185	NT16AB2725 (100.00%)	NT17AB2209 (100.00%)	NT20ABA1147 (100.00%)
NT08AB1186			
NT08AB1187		NT17AB0950 (36.13%)	
NT08AB1188			
NT08AB1189	NT16AB2724 (98.45%)	NT17AB2206 (100.00%)	NT20ABA1148 (98.45%)
NT08AB1190	NT16AB2723 (96.46%)	NT17AB2205 (94.69%)	NT20ABA1149 (96.46%)
NT08AB1191	NT16AB2722 (100.00%)		NT20ABA1150 (100.00%)
NT08AB1192	NT16AB2721 (100.00%)	NT17AB2204 (100.00%)	NT20ABA1151 (100.00%)
NT08AB1194	NT16AB2646 (100.00%)	NT17AB1263 (100.00%)	NT20ABA1153 (100.00%)
NT08AB1195	NT16AB2645 (100.00%)	NT17AB1264 (99.46%)	NT20ABA1154 (100.00%)
NT08AB1196	NT16AB2644 (100.00%)	NT17AB1265 (99.52%)	NT20ABA1155 (100.00%)
NT08AB1197	NT16AB2643 (99.55%)	NT17AB1266 (99.53%)	NT20ABA1156 (99.55%)
NT08AB1198	NT16AB2642 (98.01%)	NT17AB1267 (97.76%)	NT20ABA1157 (98.01%)
NT08AB1199	NT16AB2641 (97.80%)	NT17AB1268 (97.56%)	NT20ABA1158 (97.80%)
NT08AB1200	NT16AB2640 (100.00%)		NT20ABA1159 (100.00%)
NT08AB1201	NT16AB2639 (100.00%)	NT17AB1269 (100.00%)	NT20ABA1160 (100.00%)
NT08AB1202	NT16AB2638 (100.00%)	NT17AB1270 (100.00%)	NT20ABA1161 (100.00%)
NT08AB1203	NT16AB2636 (98.89%)	NT17AB1271 (99.53%)	NT20ABA1162 (99.06%)
NT08AB1204	NT16AB2635 (96.04%)	NT17AB1272 (99.50%)	NT20ABA1163 (96.04%)
NT08AB1205	NT16AB2634 (100.00%)	NT17AB1273 (98.65%)	NT20ABA1164 (100.00%)
NT08AB1206	NT16AB2633 (100.00%)	NT17AB1274 (89.06%)	NT20ABA1165 (100.00%)
NT08AB1207	NT16AB2632 (99.64%)	NT17AB1275 (98.92%)	NT20ABA1166 (99.64%)
NT08AB1208	NT16AB2631 (100.00%)	NT17AB1276 (99.25%)	NT20ABA1167 (100.00%)
NT08AB1209	NT16AB2630 (100.00%)	NT17AB1277 (99.15%)	NT20ABA1168 (100.00%)
NT08AB1210	NT16AB2629 (100.00%)	NT17AB1278 (100.00%)	NT20ABA1169 (100.00%)
NT08AB1211	NT16AB2628 (100.00%)	NT17AB1279 (100.00%)	NT20ABA1170 (100.00%)
NT08AB1212	NT16AB2627 (98.17%)	NT17AB1280 (98.55%)	NT20ABA1171 (98.17%)
NT08AB1213	NT16AB2626 (99.78%)	NT17AB1283 (99.56%)	NT20ABA1172 (99.78%)
NT08AB1214	NT16AB2625 (99.81%)	NT17AB1284 (99.53%)	NT20ABA1173 (99.81%)
NT08AB1215	NT16AB2624 (98.53%)	NT17AB1285 (98.66%)	NT20ABA1174 (98.53%)
NT08AB1216	NT16AB2623 (99.43%)		NT20ABA1175 (99.43%)
NT08AB1217	NT16AB2622 (99.40%)		NT20ABA1176 (99.40%)
NT08AB1218			
NT08AB1219	NT16AB2621 (95.21%)	NT17AB1287 (97.01%)	NT20ABA1177 (95.21%)
NT08AB1220			
NT08AB1221	NT16AB2620 (98.79%)	NT17AB1289 (98.55%)	NT20ABA1178 (98.41%)
NT08AB1222	NT16AB2612 (95.05%)	NT17AB1293 (96.27%)	NT20ABA1185 (94.37%)
NT08AB1224	NT16AB2609 (99.55%)	NT17AB1295 (99.07%)	NT20ABA1187 (99.55%)
NT08AB1225	NT16AB2608 (100.00%)	NT17AB1296 (99.42%)	NT20ABA1188 (100.00%)
NT08AB1226	NT16AB2606 (98.83%)	NT17AB1297 (98.99%)	NT20ABA1189 (99.76%)
NT08AB1227			
NT08AB1228	NT16AB2603 (100.00%)	NT17AB1299 (100.00%)	NT20ABA1190 (100.00%)
NT08AB1229			
NT08AB1230	NT16AB2602 (99.56%)	NT17AB1301 (99.11%)	NT20ABA1191 (99.56%)
NT08AB1232			
NT08AB1233			
NT08AB1234			
NT08AB1235			
NT08AB1236			
NT08AB1237			
NT08AB1238			
NT08AB1239			
NT08AB1240			
NT08AB1241			
NT08AB1242			
NT08AB1243			
NT08AB1244	NT16AB2600 (98.63%)		NT20ABA1193 (98.63%)
NT08AB1245			
NT08AB1246			NT20ABA1196 (93.48%)
NT08AB1247			NT20ABA1195 (94.50%)
NT08AB1248			
NT08AB1249			NT20ABA1203 (100.00%)
NT08AB1250		NT17AB1320 (99.30%)	NT20ABA1204 (99.07%)
NT08AB1251			NT20ABA1205 (97.71%)
NT08AB1252			NT20ABA1206 (99.10%)
NT08AB1253			NT20ABA1207 (86.81%)
NT08AB1254			NT20ABA1208 (92.89%)
NT08AB1255			NT20ABA1209 (99.61%)
NT08AB1256			NT20ABA1210 (99.58%)
NT08AB1257			NT20ABA1211 (98.57%)
NT08AB1258			
NT08AB1259			NT20ABA1212 (96.30%)
NT08AB1260			NT20ABA1213 (96.43%)
NT08AB1261			NT20ABA1214 (99.36%)
NT08AB1262			NT20ABA1215 (92.31%)
NT08AB1263			NT20ABA1216 (83.49%)
NT08AB1264			
NT08AB1265			NT20ABA1217 (98.35%)
NT08AB1266		NT17AB1322 (96.92%)	NT20ABA1218 (96.07%)
NT08AB1267		NT17AB1323 (99.33%)	NT20ABA1219 (99.33%)
NT08AB1268		NT17AB1324 (97.99%)	NT20ABA1220 (98.45%)
NT08AB1269		NT17AB1325 (98.56%)	NT20ABA1221 (99.34%)
NT08AB1270		NT17AB1327 (98.87%)	NT20ABA1222 (96.85%)
NT08AB1271		NT17AB1328 (99.67%)	NT20ABA1224 (99.34%)
NT08AB1272		NT17AB1329 (97.73%)	NT20ABA1225 (98.48%)
NT08AB1273		NT17AB1330 (100.00%)	NT20ABA1226 (100.00%)
NT08AB1274	NT16AB2597 (96.74%)	NT17AB1331 (95.88%)	NT20ABA1227 (96.74%)
NT08AB1275	NT16AB2596 (98.45%)		NT20ABA1228 (98.45%)
NT08AB1276	NT16AB2595 (97.75%)	NT17AB1332 (95.60%)	NT20ABA1229 (97.75%)
NT08AB1277	NT16AB2594 (98.28%)		NT20ABA1230 (98.28%)
NT08AB1278	NT16AB2593 (98.15%)		NT20ABA1231 (98.15%)
NT08AB1279	NT16AB2592 (99.20%)		NT20ABA1232 (99.20%)
NT08AB1280	NT16AB2591 (97.72%)		NT20ABA1233 (97.72%)
NT08AB1281	NT16AB2590 (100.00%)		NT20ABA1234 (100.00%)
NT08AB1282	NT16AB2589 (100.00%)		NT20ABA1235 (100.00%)
NT08AB1283	NT16AB2588 (98.67%)		NT20ABA1236 (98.47%)
NT08AB1284	NT16AB2587 (97.79%)		NT20ABA1237 (97.79%)
NT08AB1285	NT16AB2586 (96.82%)		NT20ABA1238 (96.82%)
NT08AB1286	NT16AB2585 (98.88%)		NT20ABA1239 (98.88%)
NT08AB1287	NT16AB2584 (98.44%)		NT20ABA1240 (98.44%)
NT08AB1288	NT16AB2583 (99.77%)		NT20ABA1241 (99.77%)
NT08AB1289	NT16AB2582 (99.46%)		NT20ABA1242 (99.46%)
NT08AB1290			
NT08AB1291	NT16AB2581 (96.63%)		NT20ABA1243 (96.63%)
NT08AB1292	NT16AB2580 (99.30%)		NT20ABA1244 (99.65%)
NT08AB1293	NT16AB2579 (99.19%)		NT20ABA1245 (99.19%)
NT08AB1294	NT16AB2578 (99.05%)	NT17AB1334 (98.52%)	NT20ABA1246 (99.11%)
NT08AB1295	NT16AB2577 (97.94%)	NT17AB1335 (97.25%)	NT20ABA1247 (97.94%)
